@id,name,place,type,@geometry,lon,lat,landuse,name:kn,operator,short_name,admin_level,boundary,is_in,website,source,alt_name,wikipedia,name:ml,old_name,addr:postcode,name:ta,name:kn:iso15919,wikidata,@relations,addr:city,official_name,name:en,note,fixme,full_name,schools_nearby,parks_nearby,metro_nearby_km,avg_rent,safety_score
node/459510391,Konappana Agrahara,neighbourhood,,,77.668169,12.8528618,,ಕೋನಪ್ಪನ ಅಗ್ರಹಾರ,,,,,,,,,,കോനപ്പന അഗ്രഹാര,,,கோனாபான அக்ரஹாரா,,,,,,,,,,3,7,1.91,80000,8.6
node/459514803,Hebbagodi,neighbourhood,,,77.6799745,12.8267016,,ಹೆಬ್ಬಗೋಡಿ,,,,,Bangalore,,,,en:Hebbagodi,,,,ஹெப்பாகோடி,,Q1707218,,,,,,,,9,10,4.98,40000,6.2
node/459527147,Bettadasanpura,neighbourhood,,,77.6322514,12.8420404,,ಬೆಟ್ಟದಸನಪುರ,,,,,,,,,en:Bettadasanapura,,,,பெட்டதசன்புரா,,Q4898375,,,,,,,,8,4,3.76,20000,9.1
node/459782030,Rajendranagar,neighbourhood,,,77.6174963,12.9466371,,ರಾಜೇಂದ್ರ ನಗರ,,,,,Bengaluru,,,,,,,,ராஜேந்திரா நகர்,,,,,,,,,,12,3,1.81,50000,6.8
node/459811879,Austin Town BDA Layout,neighbourhood,,,77.6153858,12.9566722,,ಆಷ್ಟಿನ್ ಟೌನ್,,,,,,,,,,,,,,,,,,,,,,,5,8,3.28,15000,5.5
way/469401559,Sunny Brooks,neighbourhood,,center,77.6886837,12.9130439,residential,,,,,,,,,,,,,,,,,,,,,,,,15,8,4.28,20000,8.2
node/493530617,Bismillah Nagar,neighbourhood,,,77.6033847,12.9263385,,ಬಿಸ್ಮಿಲ್ಲಾ ನಗರ,,,,,,,,,,,,,பிஸ்மில்லா நகர்,,,,,,,,,,14,9,3.69,60000,7.1
node/493530639,NAL Layout,neighbourhood,,,77.5988922,12.9253908,,ಎನ್ಎಎಲ್ ಬಡಾವಣೆ,,,,,,,,,,,,,,,,,,,,,,,5,10,1.91,50000,4.9
node/493538970,Canara Bank Colony,neighbourhood,,,77.5908939,12.9311905,,ಕೆನರಾ ಬ್ಯಾಂಕ್ ಕಲೋನಿ,,,,,,,,,,,,,கனரா வங்கி காலனி,,,,,,,,,,11,9,2.25,20000,6.6
node/493538976,Tilak Nagar,neighbourhood,,,77.5947124,12.9275876,,ತಿಲಕ್ ನಗರ,,,,,,,,,,,,,திலக் நகர்,,,,,,,,,,14,5,0.45,50000,5.6
node/494013080,IAS Officers Colony,neighbourhood,,,77.611496,12.9115924,,ಐಎಎಸ್ ಅಧಿಕಾರಿಗಳ ಕಾಲೋನಿ,,,,,BTM Layout,,,MCHS Colony,,,,,,,,[object Object],,,,,,,14,9,0.34,40000,5.4
node/503050594,Koramangala 2nd Block,neighbourhood,,,77.6242433,12.9243692,,ಕೋರಮಂಗಲ ೨ನೇ ಬ್ಲಾಕ್,,,,,Koramangala,,,,,,,,,,,,,,,,,,8,2,2.82,30000,4.2
node/503573878,BEL Colony,neighbourhood,,,77.5601262,13.0566583,,ಬಿಇಎಲ್ ಕಾಲೋನಿ,,,,,,,,,,,,,,,,,,,,,,,7,6,1.56,40000,6.7
node/503574042,HMT Colony,neighbourhood,,,77.548848,13.0522185,,ಎಚ್ಎಂಟಿ ಕಾಲೋನಿ,,,,,,,,,,,,,,,,,,,,,,,11,7,3.15,20000,9.5
node/513600978,Indiranagar 1st Stage,neighbourhood,,,77.6391534,12.979342,,ಇಂದಿರಾನಗರ ೧ನೇ ಹಂತ,,,,,Indiranagar,,,,,,,,,,,,,,,,,,5,3,2.5,40000,5.5
node/513600979,Indiranagar 2nd Stage,neighbourhood,,,77.63869,12.9770856,,ಇಂದಿರಾನಗರ ೨ನೇ ಹಂತ,,,,,Indira Nagar,,,Indira Nagar 2nd Stage,,,,,,,,,,,,,,,3,7,4.78,20000,4.9
node/513600980,Motappanapalya,neighbourhood,,,77.6388731,12.9731648,,ಮೊಟ್ಟಪ್ಪನಪಾಳ್ಯ,,,,,Indira Nagar,,,,,,,,,,,,,,,,,,13,8,3.75,80000,7.5
node/513652499,Domlur 1st Stage,neighbourhood,,,77.6377909,12.959142,,ದೊಮ್ಮಲೂರು ೧ನೇ ಹಂತ,,,,,Domlur,,,,,,,,,,,,,,,,,,15,9,1.0,30000,7.3
node/513652501,New Thippasandra,neighbourhood,,,77.6536931,12.9736956,,ಹೊಸ ತಿಪ್ಪಸಂದ್ರ,,,,,,,,,,,,,,,,,,,,,,,3,6,0.89,15000,6.5
node/513660186,NR Colony,neighbourhood,,,77.6567503,12.9617767,,ನಂಜರೆಡ್ಡಿ ಕಾಲೋನಿ,,,,,,,,Nanja Reddy Colony,,,,,,,,,,,,,,,9,2,4.14,15000,7.4
node/513660192,Konena Agrahara,neighbourhood,,,77.6623373,12.9586061,,ಕೊನೆನ ಅಗ್ರಹಾರ,,,,,,,,,,,,,,,,,,,,,,,10,1,1.82,80000,6.8
node/529291184,RMV 2nd Stage 2nd Block,neighbourhood,,,77.5750273,13.0287429,,ಆರ್‌ಎಂವಿ ೨ನೇ ಹಂತ - ೨ನೇ ಬ್ಲಾಕ್,,,,,,,,,,,,,,,,,,,,,,,11,10,2.58,30000,4.8
node/529372193,Sundar Nagar,neighbourhood,,,77.5588323,13.0405384,,ಸುಂದರನಗರ,,,,,,,,Sundaranagar,,,,,,,,,,,,,,,3,5,1.34,50000,7.3
node/533583774,Arkavathy Layout 7th Block,neighbourhood,,,77.6098227,13.0747163,,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೭ನೇ ಹಂತ,,,,,Arkavathy Layout,,,,,,,,,,,,,,,,,,7,8,1.57,40000,8.1
node/533583971,Arkavathy Layout 1st Block,neighbourhood,,,77.6083207,13.0840392,,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೧ನೇ ಹಂತ,,,,,Arkavathy Layout,,,,,,,,,,,,,,,,,,6,1,4.05,15000,4.7
node/533595969,MCECHS Layout,neighbourhood,,,77.6152451,13.0725802,,ಎಂಸಿಇಸಿಎಚ್ಎಸ್ ಲೇಔಟ್,,,,,Arkavathy Layout,,,,,,,,,,,,,,,,,,10,6,2.84,40000,8.0
node/533596428,Telecom Layout,neighbourhood,,,77.6154768,13.0691775,,ಟೆಲಿಕಾಂ ಲೇಔಟ್,,,,,Arkavathy Layout,,,,,,,,,,,,,,,,,,8,4,2.06,20000,8.8
node/565301088,Hanumanthanagar,neighbourhood,,,77.6692734,13.0606148,,ಹನುಮಂತನಗರ,,,,,"Asia,India,Karnataka",,,,,,,,,,,,,,,,,,7,1,3.81,75000,6.2
node/567770959,Agara,neighbourhood,,,77.6468085,13.0386734,,ಆಗರ,,,,,"Asia,India,Karnataka",,,Agra,,,,,,,,,,,,,,,13,3,3.4,15000,7.7
node/567771160,Chelekere,neighbourhood,,,77.6424998,13.0286557,,ಚೆಳ್ಳಕೆರೆ,,,,,"Asia,India,Karnataka",,,Chellakere,,,,,,,,,,,,,,,14,2,2.49,20000,9.3
node/567773467,Shree Vinayaka Layout,neighbourhood,,,77.7004245,13.0115433,,ವಿನಾಯಕ ಬಡಾವಣೆ,,,,,,,,,,,,,,,,,,,,,,,7,5,3.9,20000,5.7
node/568282200,Lower Palace Orchard,neighbourhood,,,77.5797506,13.0043153,,ಲೋಅರ್ ಪ್ಯಾಲೆಸ್ ಒರ್ಚಾರ್ಡ್,,,,,,,,,,,,,,,,,,,,,,,11,6,2.63,50000,6.3
node/582576115,Kanaka Nagar,neighbourhood,,,77.6082063,13.0374105,,ಕನಕ ನಗರ,,,,,,,,,,,,,,,,,,,,,,,6,6,3.06,80000,8.3
node/589789927,HMT Watch Factory Colony,neighbourhood,,,77.5324669,13.0466974,,ಎಚ್ಎಂಟಿ ವಾಚ್ ಫ್ಯಾಕ್ಟರಿ ಕಾಲೋನಿ,,,,,,,,,,,,,,,,,,,,,,,7,5,1.07,50000,4.0
node/595167032,Vinayaka Nagar B Block,neighbourhood,,,77.658947,12.9545209,,ವಿನಾಯಕ ನಗರ ಬಿ ಬ್ಲಾಕ್,,,,,,,,,,,,,,,,,,,,,,,3,8,4.84,40000,5.4
node/595301768,CNR Layout,neighbourhood,,,77.6524936,13.0252226,,ನಂಜುಡ್ಡರೆಡ್ಡಿ ಲೇಔಟ್,,,,,,,,Chikka Nanjunda Reddy Layout,,,,,,,,,,,,,,,6,8,2.23,60000,7.2
node/595302508,Malappa Layout,neighbourhood,,,77.6511525,13.0270728,,ಮಲಪ್ಪ ಲೇಔಟ್,,,,,,,,,,,,,,,,,,,,,,,8,9,3.07,40000,7.8
node/595304404,Bank Avenue Colony,neighbourhood,,,77.6527986,13.0225678,,ಬ್ಯಾಂಕ್ ಅವೆನ್ಯೂ ಕಾಲೊನಿ,,,,,,,,,,,,,,,,,,,,,,,6,1,0.82,50000,6.2
node/595688375,Hennur Gardens,neighbourhood,,,77.6432902,13.0376905,,ಹೆಣ್ಣುರ್ ಗಾರ್ಡನ್ಸ್,,,,,,,,,,,,,,,,,,,,,,,15,5,1.46,20000,9.4
node/597066208,Sri Krishna Nagar,neighbourhood,,,77.6535472,13.0775838,,ಶ್ರೀಕೃಷ್ಣ ನಗರ,,,,,,,,,,,,,,,,,,,,,,,12,7,1.44,30000,6.8
node/597694337,Post & Telegraph Layout,neighbourhood,,,77.6580404,13.0247314,,ಪೊಸ್ಟ್ ಮತ್ತು ಟೆಲಿಗ್ರಾಫ್ ಲೇಔಟ್,,,,,,,,,,,,,,,,,,,,,,,11,6,3.97,15000,5.5
node/598947872,Mohan Kumar Nagar,neighbourhood,,,77.5511385,13.0310241,,ಮೋಹನ್ ಕುಮಾರ್ ನಗರ,,,,,,,,,,,,,,,,,,,,,,,11,3,2.69,30000,4.9
node/599212727,Peenya 2nd Stage,neighbourhood,,,77.5129632,13.0283168,,ಪೀಣ್ಯ ೨ನೇ ಹಂತ,,,,,,,,,,,,,,,,,,,,,,,15,8,3.33,20000,7.4
way/637909264,Talacauvery Layout,neighbourhood,,center,77.6806925,12.96714,residential,ತಲಕಾವೇರಿ ಬಡಾವಣೆ,,,,,,,,,,,,,,,,,,,,,,,13,4,2.7,50000,6.6
node/646342132,Raghavendra Colony,neighbourhood,,,77.5275223,13.0645499,,ರಾಘಾವೇಂದ್ರ ಕಾಲೋನಿ,,,,,,,,,,,,,,,,,,,,,,,9,10,4.21,30000,6.0
node/648975553,Cottonpete,neighbourhood,,,77.5658857,12.9656327,,ಕಾಟನ್ ಪೇಟೆ,,,,,,,,,,,,,காட்டன்பேட்டே,,,,,,,,,,11,5,0.45,60000,6.2
node/652356552,Prakruthi Township,neighbourhood,,,77.6521533,13.0308767,,ಪ್ರಕೃತಿ ಟೌನ್‌ಶಿಪ್,,,,,,,,,,,,,,,,,,,,,,,10,4,3.99,30000,5.4
node/666849453,L.R. Nagar 1st Stage,neighbourhood,,,77.6156693,12.9498455,,ಎಲ್ಆರ್ ನಗರ ೧ನೇ ಹಂತ,,,,,Bengaluru,,,,,,,,,,,,,,,,,,3,8,1.08,40000,7.3
node/666849455,L.R. Nagar 2nd Stage,neighbourhood,,,77.6174553,12.9496935,,ಎಲ್ಆರ್ ನಗರ ೨ನೇ ಹಂತ,,,,,Bengaluru,,,,,,,,,,,,,,,,,,5,9,0.36,80000,8.4
node/666849457,Ambedkar Nagar,neighbourhood,,,77.6184873,12.9490851,,ಅಂಬೇಡ್ಕರ್ ನಗರ,,,,,Bengaluru,,,,,അംബേദ്കർ നഗർ,,,,,,,,,,,,,4,8,1.91,40000,9.4
node/679886682,Goripalya,neighbourhood,,,77.5494998,12.9629437,,ಗೋರಿಪಾಳ್ಯ,,,,,,,,Devaraj Urs Nagar,,,,,கோரிபால்யா,,,,,,,,,,11,7,0.99,20000,9.3
node/683061164,Hosahalli,neighbourhood,,,77.5427797,12.9690686,,ಹೊಸಹಳ್ಳಿ,,,,,,,,,,,,,,,,,,,,,,,4,7,2.66,75000,5.7
node/699684267,Kasturibai Nagar,neighbourhood,,,77.5512728,12.9541051,,ಕಸ್ತೂರಿಬಾಯಿ ನಗರ,,,,,,,,,,,,,கஸ்தூரிபாய் நகர்,,,,,,,,,,13,9,4.1,30000,7.8
node/710722699,Domlur 2nd Stage,neighbourhood,,,77.6383676,12.9640664,,ದೊಮ್ಮಲೂರು ೨ನೇ ಹಂತ,,,,,Domlur,,,,,,,,,,,,,,,,,,4,8,2.77,60000,6.5
node/718385669,Vannarapete,neighbourhood,,,77.6176375,12.9599932,,ವನ್ನರಪೇಟೆ,,,,,,,,,,,,,வன்னாரப்பேட்டே,,,,,,,,,,12,8,2.76,40000,7.6
node/733519847,Ganapathy Nagar,neighbourhood,,,77.5396256,12.9463411,,ಗಣಪತಿ ನಗರ,,,,,,,,,,,,,,,,,,,,,,,7,5,4.35,60000,6.9
node/736207253,Defence Colony,neighbourhood,,,77.6435315,12.976171,,ಡಿಫೆನ್ಸ್ ಕಾಲೋನಿ,,,,,Indira Nagar,,,,,,,,,,,,,,,,,,10,5,3.32,20000,4.2
node/769260893,Someshwaranagar,neighbourhood,,,77.5921346,12.9420915,,ಸೋಮೇಶ್ವರನಗರ,,,,,Bangalore,,,,,,,,சோமேஷ்வரா நகர்,,,,,,,,,,7,10,1.51,60000,5.1
node/821795981,Nanjappa Garden,neighbourhood,,,77.6504121,13.0234077,,ನಂಜಪ್ಪ ಗಾರ್ಡನ್,,,,,,,,,,,,,,,,,,,,,,,11,9,2.52,15000,9.0
way/822777638,Himagiri,neighbourhood,,center,77.5931538,12.8611383,residential,ಹಿಮಗಿರಿ,,,,,,,,,,,,,,,,,,,,,,,11,2,4.37,20000,8.5
node/841805570,Bhuvaneshwari Nagar,neighbourhood,,,77.5493787,12.9232498,,ಭುವನೇಶ್ವರಿ ನಗರ,,,,,Bangalore,,,,,,,,புவனேஷ்வரி நகர்,,,,,,,,,,4,6,3.95,60000,7.4
node/841805600,Ittamadu,neighbourhood,,,77.5444573,12.9250047,,ಇತ್ತಮಡು,,,,,Bangalore,,,,,,,,,,,,,,,,,,3,6,2.59,20000,8.1
node/841805641,AGS Layout,neighbourhood,,,77.5340498,12.9127651,,ಎಜಿಎಸ್ ಲೇಔಟ್,,,,,,,,,,,,,,,,,,,,,,,14,1,4.48,30000,4.6
node/841805674,Katriguppe,neighbourhood,,,77.5488835,12.9280952,,ಕತ್ರಿಗುಪ್ಪೆ,,,,,Bangalore,,,,,,,,,,,,,,,,,,12,10,1.31,80000,4.1
node/850751602,HMT Layout,neighbourhood,,,77.5921251,13.0276524,,ಎಚ್ಎಂಟಿ ಲೇಔಟ್,,,,,RT Nagar,,,,,,,,,,,,,,,,,,15,2,2.51,40000,4.8
node/850751624,VV Nagar,neighbourhood,,,77.5950711,13.0279472,,ವಿವಿ ನಗರ,,,,,RT Nagar,,,,,,,,விவி நகர்,,,,,,,,,,4,8,1.42,60000,4.7
node/857189302,St. Thomas Town,neighbourhood,,,77.6224071,13.0065573,,ಸೆಂಟ್ ತಾಮಸ್ ಟೌನ್,,,,,Bengaluru,,,BL Rice Nagar,,സെന്റ് തോമസ് ടൗൺ,,,,,,,,,,,,,7,4,1.87,60000,5.3
node/959499304,Sector A,neighbourhood,,,77.586453,13.0968434,,ಸೆಕ್ಟರ್ ಎ,,,,,,,,,,,,,,,,,,,,,,,7,6,2.08,50000,5.8
node/959499462,Sector B,neighbourhood,,,77.581801,13.0982811,,ಸೆಕ್ಟರ್ ಬಿ,,,,,Yelahanka New Town,,,,,,,,,,,,,,,,,,7,6,2.97,20000,6.7
